label,text_adv,text_ele,adv_ele
s1,"The Seattle-based company has applied for its brand to be a top-level domain name (currently .com), but the South American governments argue this would prevent the use of this internet address for environmental protection, the promotion of indigenous rights and other public interest uses.","Amazon has asked for its company name to be a top-level domain name (currently .com), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses.","The Seattle-based company has applied for its brand to be a top-level domain name (currently .com), but the South American governments argue this would prevent the use of this internet address for environmental protection, the promotion of indigenous rights and other public interest uses.
 |<endoflevelone>| 
Amazon has asked for its company name to be a top-level domain name (currently .com), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses."
s10,We want everyone to be who he and she is  whether they are gay and lesbian or stand up to violence and are then victims of harassment.,We want everyone to be who he and she is  whether they are gay and lesbian or try to stop violence and are then victims of harassment.,"We want everyone to be who he and she is  whether they are gay and lesbian or stand up to violence and are then victims of harassment.
 |<endoflevelone>| 
We want everyone to be who he and she is  whether they are gay and lesbian or try to stop violence and are then victims of harassment."
s100,"Without their contribution, the history of this great club would not be as rich.","Without them, the history of this great club would not be as rich.","Without their contribution, the history of this great club would not be as rich.
 |<endoflevelone>| 
Without them, the history of this great club would not be as rich."
s1000,"When water evaporates from the oceans, the vapour can rise over nine miles to form rain clouds that reflect sunlight; or, it may rise just a few miles and drift back down without forming clouds.","When water evaporates from the oceans, the vapour can rise over nine miles to form rain clouds that reflect sunlight; or, it may rise just a few miles and fall slowly back down without forming clouds.","When water evaporates from the oceans, the vapour can rise over nine miles to form rain clouds that reflect sunlight; or, it may rise just a few miles and drift back down without forming clouds.
 |<endoflevelone>| 
When water evaporates from the oceans, the vapour can rise over nine miles to form rain clouds that reflect sunlight; or, it may rise just a few miles and fall slowly back down without forming clouds."
s1001,"Climate sceptics like to criticize climate models for getting things wrong and we are the first to admit they are not perfect, said Sherwood.","Climate sceptics like to criticize climate models because they are sometimes wrong, and we know that they are not perfect, said Sherwood.","Climate sceptics like to criticize climate models for getting things wrong and we are the first to admit they are not perfect, said Sherwood.
 |<endoflevelone>| 
Climate sceptics like to criticize climate models because they are sometimes wrong, and we know that they are not perfect, said Sherwood."
s1002,"But what we are finding is that the mistakes are being made by the models which predict less warming, not those that predict more.","But we are finding that the mistakes are being made by the models that predict less warming, not the models that predict more warming.","But what we are finding is that the mistakes are being made by the models which predict less warming, not those that predict more.
 |<endoflevelone>| 
But we are finding that the mistakes are being made by the models that predict less warming, not the models that predict more warming."
s1003,"Even in successful countries such as Indonesia and Vietnam, the proportion has been 20%.","Even in successful countries such as Indonesia and Vietnam, the proportion was 20%.","Even in successful countries such as Indonesia and Vietnam, the proportion has been 20%.
 |<endoflevelone>| 
Even in successful countries such as Indonesia and Vietnam, the proportion was 20%."
s1004,"Amin, 61, from rural Bangladesh, has seen his livelihood gradually decline, due to his own and his wifes illnesses, the cost of his sons marriage, the death of his father and loss of goods such as  shing nets.","His income has fallen slowly, because of his illness and his wifes illness, the cost of his sons marriage, the death of his father and loss of goods such as  shing nets.","Amin, 61, from rural Bangladesh, has seen his livelihood gradually decline, due to his own and his wifes illnesses, the cost of his sons marriage, the death of his father and loss of goods such as  shing nets.
 |<endoflevelone>| 
His income has fallen slowly, because of his illness and his wifes illness, the cost of his sons marriage, the death of his father and loss of goods such as  shing nets."
s1005,"Lovemore, 74, from Zimbabwe, has become one of the poorest people in his village.","Lovemore, from Zimbabwe, is now one of the poorest people in his village.","Lovemore, 74, from Zimbabwe, has become one of the poorest people in his village.
 |<endoflevelone>| 
Lovemore, from Zimbabwe, is now one of the poorest people in his village."
s1006,He recently lost his job as a car-park attendant due to ill health and had to take in his  ve grandchildren after the death of his daughters.,He recently lost his job because of ill health and has to look after his  ve grandchildren after the death of his daughters.,"He recently lost his job as a car-park attendant due to ill health and had to take in his  ve grandchildren after the death of his daughters.
 |<endoflevelone>| 
He recently lost his job because of ill health and has to look after his  ve grandchildren after the death of his daughters."
s1007,"The second is education, from early childhood to the start of work, to enable people to escape and stay out of poverty.","The second is education, from early childhood to the start of work, so people can escape and stay out of poverty.","The second is education, from early childhood to the start of work, to enable people to escape and stay out of poverty.
 |<endoflevelone>| 
The second is education, from early childhood to the start of work, so people can escape and stay out of poverty."
s1008,"Even Nigeria, with its oil wealth, spends only $650 per capita, Shepherd said.","Even Nigeria, with its oil wealth, spends only $650 per person, Shepherd said.","Even Nigeria, with its oil wealth, spends only $650 per capita, Shepherd said.
 |<endoflevelone>| 
Even Nigeria, with its oil wealth, spends only $650 per person, Shepherd said."
s1009,"We Can Do It is not a female beer but a beer brewed by women that anyone can drink, she says.","It is a beer brewed by women that anyone can drink, she says.","We Can Do It is not a female beer but a beer brewed by women that anyone can drink, she says.
 |<endoflevelone>| 
It is a beer brewed by women that anyone can drink, she says."
s101,"In my early years, the backing of the board, and Sir Bobby Charlton in particular, gave me the confidence and time to build a football club, rather than just a football team.","In my early years, the support of the board of directors gave me the confidence and time to build a football club, not just a football team.","In my early years, the backing of the board, and Sir Bobby Charlton in particular, gave me the confidence and time to build a football club, rather than just a football team.
 |<endoflevelone>| 
In my early years, the support of the board of directors gave me the confidence and time to build a football club, not just a football team."
s1010,"One weekend they concocted the recipe and the next they brewed 1,600 litres.","One weekend they created the recipe; the next weekend they brewed 1,600 litres.","One weekend they concocted the recipe and the next they brewed 1,600 litres.
 |<endoflevelone>| 
One weekend they created the recipe; the next weekend they brewed 1,600 litres."
s1011,"This is not a beer that is aimed at women  its our hoppiest brew, says Thomas Bingebo, the head brewer at Ocean.","This beer is not aimed at women, says Thomas Bingebo, the head brewer at Ocean.","This is not a beer that is aimed at women  its our hoppiest brew, says Thomas Bingebo, the head brewer at Ocean.
 |<endoflevelone>| 
This beer is not aimed at women, says Thomas Bingebo, the head brewer at Ocean."
s1012,FemAle has already been approached by other breweries asking if they can brew new beers with them.,Other breweries have already asked FemAle if they can brew new beers with them.,"FemAle has already been approached by other breweries asking if they can brew new beers with them.
 |<endoflevelone>| 
Other breweries have already asked FemAle if they can brew new beers with them."
s1013,"From all across Rwanda, and even parts of neighbouring Burundi, people  ock to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams).","From all across Rwanda, and even from Burundi, people are coming to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams).","From all across Rwanda, and even parts of neighbouring Burundi, people  ock to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams).
 |<endoflevelone>| 
From all across Rwanda, and even from Burundi, people are coming to the southern town of Butare to a little shop called Inzozi Nziza (Sweet Dreams)."
s1014,"Here, at the central African countrys  rst ice- cream parlour, customers can buy scoops in sweet cream, passion fruit, strawberry and pineapple  avours.","Here, at the central African countrys  rst ice-cream shop, customers can buy ice cream in sweet cream, passion fruit, strawberry and pineapple  avours.","Here, at the central African countrys  rst ice- cream parlour, customers can buy scoops in sweet cream, passion fruit, strawberry and pineapple  avours.
 |<endoflevelone>| 
Here, at the central African countrys  rst ice-cream shop, customers can buy ice cream in sweet cream, passion fruit, strawberry and pineapple  avours."
s1015,"Ice cream is important, she says between mouthfuls of a honey- avoured offering.","Ice cream is important, she says between mouthfuls of honey- avoured ice cream.","Ice cream is important, she says between mouthfuls of a honey- avoured offering.
 |<endoflevelone>| 
Ice cream is important, she says between mouthfuls of honey- avoured ice cream."
s1016,"True to Inzozi Nzizas motto, the shop can certainly make dreams come true.",The shop can certainly make dreams come true.,"True to Inzozi Nzizas motto, the shop can certainly make dreams come true.
 |<endoflevelone>| 
The shop can certainly make dreams come true."
s1017,"Its something uniting people here, Kalisa Migendo, a 24-year-old agriculture student, says.","The shop is uniting people here, Kalisa Migendo, a 24-year-old student, says.","Its something uniting people here, Kalisa Migendo, a 24-year-old agriculture student, says.
 |<endoflevelone>| 
The shop is uniting people here, Kalisa Migendo, a 24-year-old student, says."
s1018,Inzozi Nziza was opened by the theatre director Odile Gakire Katese.,Inzozi Nziza was opened by Odile Gakire Katese.,"Inzozi Nziza was opened by the theatre director Odile Gakire Katese.
 |<endoflevelone>| 
Inzozi Nziza was opened by Odile Gakire Katese."
s1019,"The musicians are Hutu and Tutsi women, some survivors of the 1994 genocide, during which almost a million Tutsis and moderate Hutus were killed.","Some are survivors of the 1994 genocide, when almost a million Tutsis and Hutus were killed.","The musicians are Hutu and Tutsi women, some survivors of the 1994 genocide, during which almost a million Tutsis and moderate Hutus were killed.
 |<endoflevelone>| 
Some are survivors of the 1994 genocide, when almost a million Tutsis and Hutus were killed."
s102,"I will always cherish the wonderful memories he has given us, like that magical night in Moscow.","I will never forget the wonderful memories he has given us, like that magical night in Moscow.","I will always cherish the wonderful memories he has given us, like that magical night in Moscow.
 |<endoflevelone>| 
I will never forget the wonderful memories he has given us, like that magical night in Moscow."
s1020,"When Im drumming with them, it gives me power because were still alive and survivors.","When Im drumming, it gives me power because were still alive and survivors, she says.","When Im drumming with them, it gives me power because were still alive and survivors.
 |<endoflevelone>| 
When Im drumming, it gives me power because were still alive and survivors, she says."
s1021,"Schools should teach navigation and map reading as life skills, he wrote.","Schools should teach navigation and map reading, he wrote.","Schools should teach navigation and map reading as life skills, he wrote.
 |<endoflevelone>| 
Schools should teach navigation and map reading, he wrote."
s1022,"What we did was to look at a set of current London taxi drivers and a set of London taxi drivers that had been retired for about four years, said neuroscientist Dr Hugo Spiers, head of the Spatial Cognition Group at University College London, who is an author of the study.","We studied a group of current London taxi drivers and a group of retired London taxi drivers, said Dr Hugo Spiers of University College London, who is an author of the study.","What we did was to look at a set of current London taxi drivers and a set of London taxi drivers that had been retired for about four years, said neuroscientist Dr Hugo Spiers, head of the Spatial Cognition Group at University College London, who is an author of the study.
 |<endoflevelone>| 
We studied a group of current London taxi drivers and a group of retired London taxi drivers, said Dr Hugo Spiers of University College London, who is an author of the study."
s1023,"The way in which navigational technology is used could also affect its impact on our own abilities, says Spiers.","The way we use navigation technology also has an impact on our own abilities, says Spiers.","The way in which navigational technology is used could also affect its impact on our own abilities, says Spiers.
 |<endoflevelone>| 
The way we use navigation technology also has an impact on our own abilities, says Spiers."
