label,text_ele,text_int,int_ele
s1,"Amazon has asked for its company name to be a top-level domain name (currently .com), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses.","The Seattle-based company has applied for its brand to be a top-level domain name (currently .com), but the South American governments argue this would prevent the use of this internet address for environmental protection, the promotion of indigenous rights and other public interest uses.","The Seattle-based company has applied for its brand to be a top-level domain name (currently .com), but the South American governments argue this would prevent the use of this internet address for environmental protection, the promotion of indigenous rights and other public interest uses.
 |<endoflevelone>| 
Amazon has asked for its company name to be a top-level domain name (currently .com), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses."
s10,"They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area.","It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.","It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.
 |<endoflevelone>| 
They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area."
s100,He says that this isnt just about making babies: I want this to be about children and love.,He says that this isnt just about baby farming: I want this to be about children and love.,"He says that this isnt just about baby farming: I want this to be about children and love.
 |<endoflevelone>| 
He says that this isnt just about making babies: I want this to be about children and love."
s1000,Autism is a disorder that one in 100 people have.,Autism is a developmental disorder that more than one in 100 people have.,"Autism is a developmental disorder that more than one in 100 people have.
 |<endoflevelone>| 
Autism is a disorder that one in 100 people have."
s1001,"It affects people in different ways, but causes difficulties in social interaction and communication.","The condition affects people in different ways, but leads to difficulties in social interaction and communication.","The condition affects people in different ways, but leads to difficulties in social interaction and communication.
 |<endoflevelone>| 
It affects people in different ways, but causes difficulties in social interaction and communication."
s1002,"So far, there is no effective treatment for the social problems that autism causes.","So far, there is no established treatment for the social problems caused by autism.","So far, there is no established treatment for the social problems caused by autism.
 |<endoflevelone>| 
So far, there is no effective treatment for the social problems that autism causes."
s1003,But not all results are positive: one recent study found no significant benefit for young people who took the chemical for several days.,"Results have been mixed, though: one recent study found no significant benefit for young people given the chemical over several days.","Results have been mixed, though: one recent study found no significant benefit for young people given the chemical over several days.
 |<endoflevelone>| 
But not all results are positive: one recent study found no significant benefit for young people who took the chemical for several days."
s1004,"Then, the scientists scanned their brains while they looked at images of cars or the eyes of people expressing different emotions.",The scientists scanned the brains of 17 young people aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing different emotions.,"The scientists scanned the brains of 17 young people aged eight to 16 with autism while they looked at images of cars or the eyes of people expressing different emotions.
 |<endoflevelone>| 
Then, the scientists scanned their brains while they looked at images of cars or the eyes of people expressing different emotions."
s1005,He said that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online.,He warned that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online.,"He warned that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online.
 |<endoflevelone>| 
He said that it was too early to use oxytocin as a treatment for the social difficulties caused by autism and said people should not buy oxytocin online."
s1006,It is also not known yet if oxytocin only has benefits for people with autism or has any bad side effects.,"And, it is also not yet clear if oxytocin only has benefits for people with autism or has any unwanted side effects.","And, it is also not yet clear if oxytocin only has benefits for people with autism or has any unwanted side effects.
 |<endoflevelone>| 
It is also not known yet if oxytocin only has benefits for people with autism or has any bad side effects."
