index,text,level,difficulty,n_sent,n_syll,n_lex,lex_sent,syll_lex,text_c
0,"The Seattle-based company has applied for its brand to be a top-level domain name (currently .com), but the South American governments argue this would prevent the use of this internet address for environmental protection, the promotion of indigenous rights and other public interest uses.",adv,9.9,1,77,44,44.0,1.75,"['seattlebas', 'compani', 'ha', 'appli', 'brand', 'toplevel', 'domain', 'name', 'current', 'com', 'south', 'american', 'govern', 'argu', 'thi', 'would', 'prevent', 'use', 'thi', 'internet', 'address', 'environment', 'protect', 'promot', 'indigen', 'right', 'public', 'interest', 'use']"
1,"Amazon has asked for its company name to be a top-level domain name (currently .com), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses.",ele,22.42,1,67,40,40.0,1.675,"['amazon', 'ha', 'ask', 'compani', 'name', 'toplevel', 'domain', 'name', 'current', 'com', 'south', 'american', 'govern', 'say', 'thi', 'would', 'stop', 'use', 'thi', 'internet', 'address', 'environment', 'protect', 'indigen', 'right', 'public', 'interest', 'use']"
2,"Until now, the differences between commercial, governmental and other types of identity were easily distinguished in every internet address by .com, .gov and 20 other categories.",adv,19.71,1,49,26,26.0,1.8846153846153846,"['differ', 'commerci', 'government', 'type', 'ident', 'easili', 'distinguish', 'everi', 'internet', 'address', 'com', 'gov', 'categori']"
3,"Until now, the differences between commercial, governmental and other types of identity were easy to see in every internet address by the use of .com, .gov and 20 other categories.",ele,41.03,1,49,30,30.0,1.6333333333333333,"['differ', 'commerci', 'government', 'type', 'ident', 'easi', 'see', 'everi', 'internet', 'address', 'use', 'com', 'gov', 'categori']"
4,"Amazon has applied for dozens of new domains, including .shop, .song, .book and .kindle.",adv,74.19,1,20,14,14.0,1.4285714285714286,"['amazon', 'ha', 'appli', 'dozen', 'new', 'domain', 'includ', 'shop', 'song', 'book', 'kindl']"
5,"Amazon has applied for many new domains, including .shop, .song, .book and .kindle.",ele,66.74,1,19,13,13.0,1.4615384615384615,"['amazon', 'ha', 'appli', 'mani', 'new', 'domain', 'includ', 'shop', 'song', 'book', 'kindl']"
6,"Allowing private companies to register geographical names as gTLDs to reinforce their brand strategy or to profit from the meaning of these names does not serve, in our view, the public interest, the Brazilian Ministry of Science and Technology said.",adv,22.42,1,66,40,40.0,1.65,"['allow', 'privat', 'compani', 'regist', 'geograph', 'name', 'gtld', 'reinforc', 'brand', 'strategi', 'profit', 'mean', 'name', 'doe', 'serv', 'view', 'public', 'interest', 'brazilian', 'ministri', 'scienc', 'technolog', 'said']"
7,"Allowing private companies to register geographical names as gTLDs to profit from the meaning of these names is not, in our view, in the public interest, the Brazilian Ministry of Science and Technology said.",ele,36.97,1,56,34,34.0,1.6470588235294117,"['allow', 'privat', 'compani', 'regist', 'geograph', 'name', 'gtld', 'profit', 'mean', 'name', 'view', 'public', 'interest', 'brazilian', 'ministri', 'scienc', 'technolog', 'said']"
8,"Brazil said its views were endorsed last month by other members of the Amazon Cooperation Treaty (Bolivia, Colombia, Ecuador, Guyana, Suriname and Venezuela).",adv,56.59,1,34,23,23.0,1.4782608695652173,"['brazil', 'said', 'view', 'endors', 'last', 'month', 'member', 'amazon', 'cooper', 'treati', 'bolivia', 'colombia', 'ecuador', 'guyana', 'surinam', 'venezuela']"
9,"Brazil said other members of the Amazon Cooperation Treaty support its views (Bolivia, Colombia, Ecuador, Guyana, Suriname and Venezuela).",ele,52.19,1,30,19,19.0,1.5789473684210527,"['brazil', 'said', 'member', 'amazon', 'cooper', 'treati', 'support', 'view', 'bolivia', 'colombia', 'ecuador', 'guyana', 'surinam', 'venezuela']"
